index	u_check
0	1.672299261361240
1	-1.152095347507630
2	-1.235182582705742
3	-0.288503503167751
4	0.369201572899265
5	0.430598486578045
6	0.188643608905659
7	-0.024803169499072
8	-0.089024557950039
9	-0.052383641576975
10	-0.000781257443183
11	0.021550489733584
12	0.016620045538680
13	0.003705843480792
14	-0.003907035561686
15	-0.004320374934108
16	-0.001560554185528
17	0.000623745949498
18	0.001102207421459
19	0.000562564833277
20	-0.000031363928405
21	-0.000250460417995
22	-0.000170992628087
23	-0.000023761285332
24	0.000052173939116
25	0.000048159840596
26	0.000014301033358
27	-0.000009017917794
28	-0.000012437705134
29	-0.000005485089228
30	0.000001019967346
31	0.000002981859068
32	0.000001781738564
33	0.000000100441697
34	-0.000000649869077
35	-0.000000519119016
36	-0.000000118007362
37	0.000000124124284
38	0.000000139357909
39	0.000000052163831
40	-0.000000018224840
41	-0.000000034613329
42	-0.000000018074770
43	0.000000000760467
44	0.000000007905658
45	0.000000005511370
46	0.000000000844845
47	-0.000000001617726
48	-0.000000001534290
49	-0.000000000472114
50	0.000000000275953
51	0.000000000395026
52	0.000000000178679
53	-0.000000000028989
54	-0.000000000093954
55	-0.000000000057389
56	-0.000000000004068
57	0.000000000020327
58	0.000000000016618
59	0.000000000003974
60	-0.000000000003828
61	-0.000000000004433
62	-0.000000000001708
63	0.000000000000544
64	0.000000000001095
65	0.000000000000585
66	-0.000000000000014
67	-0.000000000000248
68	-0.000000000000177
69	-0.000000000000029
70	0.000000000000050
71	0.000000000000049
72	0.000000000000016
73	-0.000000000000008
74	-0.000000000000013
75	-0.000000000000006
76	0.000000000000001
77	0.000000000000003
78	0.000000000000002
79	0.000000000000000
80	-0.000000000000001
81	-0.000000000000001
82	-0.000000000000000
83	0.000000000000000
84	0.000000000000000
85	0.000000000000000
86	-0.000000000000000
87	-0.000000000000000
88	-0.000000000000000
89	0.000000000000000
90	0.000000000000000
91	0.000000000000000
92	0.000000000000000
93	-0.000000000000000
94	-0.000000000000000
95	-0.000000000000000
96	0.000000000000000
97	0.000000000000000
98	0.000000000000000
99	-0.000000000000000
