index	return	risk	AAPL	SPY	TSLA	COST	MCD	BX
0	0.012085966943294755	0.02215224637581139	0.033510909370441586	0.5772530793280749	-4.713521499703259e-20	-1.8735148304042505e-20	0.38923601130148344	-4.391975481897967e-20
1	0.012461505925497874	0.022209405342004676	0.04509959713489734	0.594700081975876	-4.8364068016622165e-20	-1.9224492089578868e-20	0.36020032088922677	-4.506686417887107e-20
2	0.012837044907700993	0.02238000634713755	0.05668828489935326	0.612147084623677	-4.959062235008859e-20	-1.9714815489526846e-20	0.33116463047696976	-4.6215132426190504e-20
3	0.013212583889904112	0.02265207887495067	0.06365339574802256	0.6216876599478857	0.003585314655519346	-2.9960779194775413e-20	0.31107362964857244	-5.65009971739096e-20
4	0.013588122872107231	0.02299102570068548	0.06821854766752614	0.6271242479915442	0.00903165770487761	-3.05073321338554e-20	0.29562554663605206	-5.748302963207049e-20
5	0.01396366185431035	0.023391485005683346	0.0727836995870298	0.6325608360352025	0.014478000754235864	-3.105169197424203e-20	0.28017746362353185	-5.846061840300381e-20
6	0.01433920083651347	0.023850358516415898	0.0773488515065333	0.6379974240788611	0.019924343803594105	-3.159878829344624e-20	0.2647293806110116	-5.944296707852374e-20
7	0.01471473981871659	0.024364345969899764	0.08191400342603693	0.6434340121225195	0.025370686852952407	-3.214396247847055e-20	0.24928129759849116	-6.042232559492624e-20
8	0.01509027880091971	0.02493003871455687	0.0864791553455406	0.648870600166178	0.03081702990231067	-3.2690097988955244e-20	0.23383321458597067	-6.140311832726108e-20
9	0.015465817783122828	0.02554400181386175	0.09104430726504414	0.6543071882098364	0.03626337295166891	-3.323558850968006e-20	0.21838513157345052	-6.238324808326506e-20
10	0.01584135676532595	0.026202842395678674	0.09560945918454773	0.6597437762534949	0.041709716001027235	-3.378167828258879e-20	0.20293704856093012	-6.336398400546134e-20
11	0.01621689574752907	0.026903263615180847	0.10017461110405136	0.6651803642971533	0.04715605905038547	-3.4327171556364214e-20	0.18748896554840982	-6.434370012478882e-20
12	0.016592434729732188	0.02764210482709279	0.10473976302355492	0.6706169523408119	0.05260240209974371	-3.48725719078347e-20	0.17204088253588948	-6.532249945267666e-20
13	0.016967973711935307	0.028416369366704712	0.10930491494305852	0.6760535403844702	0.05804874514910196	-3.541837519484932e-20	0.1565927995233693	-6.630304866005088e-20
14	0.017343512694138426	0.029223241765535465	0.11387006686256214	0.6814901284281286	0.0634950881984602	-3.596378471494196e-20	0.14114471651084903	-6.728255492004295e-20
15	0.017719051676341545	0.030060096360088634	0.11843521878206564	0.6869267164717872	0.06894143124781847	-3.6509857245816495e-20	0.1256966334983287	-6.826552724951954e-20
16	0.018094590658544664	0.03092449918200174	0.12300037070156919	0.6923633045154457	0.07438777429717676	-3.705600758564129e-20	0.11024855048580831	-6.924590037470877e-20
17	0.018470129640747783	0.03181420482624661	0.12756552262107287	0.697799892559104	0.07983411734653496	-3.7601638071651566e-20	0.09480046747328816	-7.022435299746455e-20
18	0.018845668622950902	0.0327271497442728	0.13213067454057642	0.7032364806027626	0.0852804603958932	-3.814775622049103e-20	0.07935238446076785	-7.120694264097574e-20
19	0.01922120760515402	0.03366144314539518	0.1366958264600801	0.708673068646421	0.09072680344525148	-3.8693987578709697e-20	0.06390430144824748	-7.218497005399715e-20
20	0.01959674658735714	0.03461535643997075	0.1412609783795837	0.7141096566900793	0.09617314649460976	-3.923922157585809e-20	0.04845621843572713	-7.316397154928423e-20
21	0.01997228556956026	0.03558731193685062	0.14582613029908723	0.719546244733738	0.10161948954396798	-3.9784784756896887e-20	0.033008135423206894	-7.414705693155114e-20
22	0.02034782455176338	0.0365758713211884	0.1503912822185909	0.7249828327773962	0.10706583259332625	-4.0330246028286365e-20	0.017560052410686713	-7.512578775367328e-20
23	0.020723363533966498	0.03757972428726012	0.1549564341380945	0.7304194208210547	0.1125121756426845	-4.087689720046779e-20	0.0021119693981662534	-7.61069790413651e-20
24	0.021098902516169617	0.03860929093575738	0.15657994966552435	0.720404171255152	0.1230158790793237	-2.0578822018309547e-20	-1.8688788131897046e-20	-3.411358125167872e-20
25	0.021474441498372736	0.03968131132134233	0.1577376138797307	0.7079418963323454	0.13432048978792382	-2.0107733228172415e-20	-1.826088487631259e-20	-3.333323841804664e-20
26	0.021849980480575855	0.04079271416967927	0.15889527809393694	0.6954796214095391	0.14562510049652394	-1.9637313888831088e-20	-1.7833430218598297e-20	-3.2552791883767495e-20
27	0.022225519462778974	0.04194036873950369	0.16005294230814332	0.6830173464867327	0.15692971120512397	-1.9167483239306866e-20	-1.7404713368311708e-20	-3.1773227810046526e-20
28	0.022601058444982093	0.04312138066215474	0.16121060652234973	0.6705550715639261	0.16823432191372414	-1.8697078933201528e-20	-1.6979733083365776e-20	-3.099429495604995e-20
29	0.022976597427185212	0.044333084146536576	0.16236827073655605	0.6580927966411196	0.1795389326223243	-1.8226003425214065e-20	-1.65519846130145e-20	-3.021375157568405e-20
30	0.02335213640938833	0.04557303116104808	0.16352593495076245	0.645630521718313	0.19084354333092446	-1.7756469872564314e-20	-1.61266049989623e-20	-2.9434390730688394e-20
31	0.02372767539159145	0.04683897872495034	0.16468359916496875	0.6331682467955067	0.20214815403952452	-1.7286467871949767e-20	-1.5699629151122662e-20	-2.8656702594676185e-20
32	0.02410321437379457	0.04812887518232032	0.16584126337917518	0.6207059718727003	0.21345276474812458	-1.6813942108503273e-20	-1.5270847383629453e-20	-2.7873309541126507e-20
