	AAPL	SPY	TSLA	COST	MCD	BX
AAPL	0.003494396428925948	0.0005707681392566489	0.0025454232015428924	0.0008090137550736976	0.00011341178670663605	0.00031124023919147685
SPY	0.0005707681392566489	0.000983180808705002	0.0017391022048761026	0.000965440939411333	-0.00024650619795410375	0.0015511630112946969
TSLA	0.0025454232015428924	0.0017391022048761026	0.023768284481676807	0.0009234963315437798	-0.0004508424267416155	0.003911998557380437
COST	0.0008090137550736976	0.000965440939411333	0.0009234963315437798	0.0035061039531957975	0.0003902830272220801	0.0007101453543214488
MCD	0.00011341178670663605	-0.00024650619795410375	-0.0004508424267416155	0.0003902830272220801	0.0016165460824843576	9.191406520937968e-06
BX	0.00031124023919147685	0.0015511630112946969	0.003911998557380437	0.0007101453543214488	9.191406520937968e-06	0.007392555490400657
